docks,bickes,ID,total,bikes/total,latitude,longitude,streets
27.421875,2.578125,502.0,30.0,0.0859375,40.714215,-73.981346,Henry St & Grand St
36.421875,2.578125,531.0,39.0,0.0661057692308,40.71893904,-73.99266288,Forsyth St & Broome St
28.421875,2.578125,534.0,31.0,0.0831653225806,40.70255065,-74.0127234,Water - Whitehall Plaza
33.421875,2.578125,2004.0,36.0,0.0716145833333,40.724399,-74.004704,6 Ave & Broome St
21.421875,2.578125,2008.0,24.0,0.107421875,40.70569254,-74.01677685,Little West St & 1 Pl
32.421875,2.578125,2009.0,35.0,0.0736607142857,40.71117444,-73.99682619,Catherine St & Monroe St
36.421875,2.578125,2010.0,39.0,0.0661057692308,40.72165481,-74.00234737,Grand St & Greene St
22.421875,2.578125,3002.0,25.0,0.103125,40.711512,-74.015756,South End Ave & Liberty St
57.7368421053,4.26315789474,83.0,62.0,0.0687606112054,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl
14.7368421053,4.26315789474,119.0,19.0,0.224376731302,40.69608941,-73.97803415,Park Ave & St Edwards St
14.7368421053,4.26315789474,120.0,19.0,0.224376731302,40.68676793,-73.95928168,Lexington Ave & Classon Ave
19.7368421053,4.26315789474,143.0,24.0,0.177631578947,40.69239502,-73.99337909,Clinton St & Joralemon St
14.7368421053,4.26315789474,144.0,19.0,0.224376731302,40.69839895,-73.98068914,Nassau St & Navy St
18.7368421053,4.26315789474,157.0,23.0,0.185354691076,40.69089272,-73.99612349,Henry St & Atlantic Ave
34.7368421053,4.26315789474,218.0,39.0,0.109311740891,40.69028437,-73.98707105,Gallatin Pl & Livingston St
18.7368421053,4.26315789474,232.0,23.0,0.185354691076,40.69597683,-73.99014892,Cadman Plaza E & Tillary St
33.7368421053,4.26315789474,233.0,38.0,0.112188365651,40.6947570136,-73.9905273914,Cadman Plaza W & Pierrepont St
26.7368421053,4.26315789474,239.0,31.0,0.137521222411,40.69196566,-73.9813018,Willoughby St & Fleet St
18.7368421053,4.26315789474,241.0,23.0,0.185354691076,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave
18.7368421053,4.26315789474,242.0,23.0,0.185354691076,40.69788349,-73.97350332,Flushing Ave & Carlton Ave
26.7368421053,4.26315789474,243.0,31.0,0.137521222411,40.688226,-73.979382,Fulton St & Rockwell Pl
26.7368421053,4.26315789474,244.0,31.0,0.137521222411,40.69196035,-73.96536851,Willoughby Ave & Hall St
18.7368421053,4.26315789474,245.0,23.0,0.185354691076,40.69327018,-73.97703874,Myrtle Ave & St Edwards St
18.7368421053,4.26315789474,258.0,23.0,0.185354691076,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave
22.7368421053,4.26315789474,261.0,27.0,0.157894736842,40.69474881,-73.98362464,Johnson St & Gold St
19.7368421053,4.26315789474,262.0,24.0,0.177631578947,40.6917823,-73.9737299,Washington Park
18.7368421053,4.26315789474,270.0,23.0,0.185354691076,40.69308257,-73.97178913,Adelphi St & Myrtle Ave
26.7368421053,4.26315789474,271.0,31.0,0.137521222411,40.68528172,-73.97805813,Ashland Pl & Hanson Pl
27.7368421053,3.26315789474,274.0,31.0,0.105263157895,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl
15.7368421053,3.26315789474,275.0,19.0,0.171745152355,40.68650065,-73.96563307,Washington Ave & Greene Ave
15.7368421053,3.26315789474,278.0,19.0,0.171745152355,40.69766564,-73.98476437,Concord St & Bridge St
23.7368421053,3.26315789474,282.0,27.0,0.120857699805,40.70827295,-73.96834101,Kent Ave & S 11 St
15.7368421053,3.26315789474,289.0,19.0,0.171745152355,40.6845683,-73.95881081,Monroe St & Classon Ave
31.7368421053,3.26315789474,298.0,35.0,0.0932330827068,40.68683208,-73.9796772,3 Ave & Schermerhorn St
32.7368421053,3.26315789474,310.0,36.0,0.0906432748538,40.68926942,-73.98912867,State St & Smith St
19.7368421053,3.26315789474,313.0,23.0,0.141876430206,40.69610226,-73.96751037,Washington Ave & Park Ave
35.7368421053,3.26315789474,314.0,39.0,0.0836707152497,40.69383,-73.990539,Cadman Plaza West & Montague St
23.7368421053,3.26315789474,321.0,27.0,0.120857699805,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl
27.7368421053,3.26315789474,322.0,31.0,0.105263157895,40.696192,-73.991218,Clinton St & Tillary St
35.7368421053,3.26315789474,323.0,39.0,0.0836707152497,40.69236178,-73.98631746,Lawrence St & Willoughby St
