   145971    0.357    0.000    1.133    0.000 _discrete_distns.py:429(_pmf)
       29    0.076    0.003    1.011    0.035 citiBikeExampleConstrained2.py:274(gradWB)
        1    0.092    0.092    1.009    1.009 linear_model.py:32(<module>)
        1    0.060    0.060    0.869    0.869 arima_model.py:7(<module>)
   410588    0.855    0.000    0.855    0.000 {numpy.core.multiarray.empty}
        1    0.389    0.389    0.808    0.808 __init__.py:253(<module>)
    10834    0.802    0.000    0.805    0.000 {max}
   145971    0.775    0.000    0.775    0.000 _discrete_distns.py:425(_logpmf)
        1    0.014    0.014    0.719    0.719 __init__.py:335(<module>)
        1    0.003    0.003    0.696    0.696 stats.py:168(<module>)
        1    0.236    0.236    0.661    0.661 __init__.py:101(<module>)
     3263    0.078    0.000    0.656    0.000 _distn_infrastructure.py:619(_construct_argparser)
        1    0.023    0.023    0.641    0.641 pyplot.py:17(<module>)
        5    0.083    0.017    0.638    0.128 __init__.py:9(<module>)
        2    0.009    0.004    0.623    0.311 decorators.py:1(<module>)
  2657120    0.612    0.000    0.612    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.575    0.575 SBO.py:490(trainModel)
        1    0.040    0.040    0.566    0.566 distributions.py:8(<module>)
        1    0.000    0.000    0.562    0.562 lbfgsb.py:48(fmin_l_bfgs_b)
        1    0.000    0.000    0.562    0.562 misc.py:17(kernOptWrapper)
        1    0.000    0.000    0.562    0.562 optimization.py:85(opt)
        1    0.000    0.000    0.562    0.562 SK.py:224(optimizeKernel)
        1    0.000    0.000    0.562    0.562 SK.py:246(trainnoParallel)
        1    0.004    0.004    0.562    0.562 lbfgsb.py:199(_minimize_lbfgsb)
      199    0.001    0.000    0.558    0.003 lbfgsb.py:265(func_and_grad)
      398    0.064    0.000    0.552    0.001 SK.py:108(logLikelihood)
     6579    0.334    0.000    0.540    0.000 doccer.py:128(indentcount_lines)
   890768    0.537    0.000    0.537    0.000 {method 'transpose' of 'numpy.ndarray' objects}
