docks,bickes,ID,total,bikes/total,latitude,longitude,streets
8.265625,38.734375,427.0,47.0,0.824135638298,40.701907,-74.013942,Bus Slip & State St
-8.734375,38.734375,502.0,30.0,1.29114583333,40.714215,-73.981346,Henry St & Grand St
0.265625,38.734375,531.0,39.0,0.993189102564,40.71893904,-73.99266288,Forsyth St & Broome St
-7.734375,38.734375,534.0,31.0,1.24949596774,40.70255065,-74.0127234,Water - Whitehall Plaza
-2.734375,38.734375,2004.0,36.0,1.07595486111,40.724399,-74.004704,6 Ave & Broome St
-14.734375,38.734375,2008.0,24.0,1.61393229167,40.70569254,-74.01677685,Little West St & 1 Pl
-3.734375,38.734375,2009.0,35.0,1.10669642857,40.71117444,-73.99682619,Catherine St & Monroe St
0.265625,38.734375,2010.0,39.0,0.993189102564,40.72165481,-74.00234737,Grand St & Greene St
-13.734375,38.734375,3002.0,25.0,1.549375,40.711512,-74.015756,South End Ave & Liberty St
41.7368421053,20.2631578947,83.0,62.0,0.326825127334,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl
-1.26315789474,20.2631578947,119.0,19.0,1.06648199446,40.69608941,-73.97803415,Park Ave & St Edwards St
-1.26315789474,20.2631578947,120.0,19.0,1.06648199446,40.68676793,-73.95928168,Lexington Ave & Classon Ave
3.73684210526,20.2631578947,143.0,24.0,0.844298245614,40.69239502,-73.99337909,Clinton St & Joralemon St
-1.26315789474,20.2631578947,144.0,19.0,1.06648199446,40.69839895,-73.98068914,Nassau St & Navy St
2.73684210526,20.2631578947,157.0,23.0,0.881006864989,40.69089272,-73.99612349,Henry St & Atlantic Ave
18.7368421053,20.2631578947,218.0,39.0,0.519568151147,40.69028437,-73.98707105,Gallatin Pl & Livingston St
2.73684210526,20.2631578947,232.0,23.0,0.881006864989,40.69597683,-73.99014892,Cadman Plaza E & Tillary St
17.7368421053,20.2631578947,233.0,38.0,0.53324099723,40.6947570136,-73.9905273914,Cadman Plaza W & Pierrepont St
10.7368421053,20.2631578947,239.0,31.0,0.653650254669,40.69196566,-73.9813018,Willoughby St & Fleet St
2.73684210526,20.2631578947,241.0,23.0,0.881006864989,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave
2.73684210526,20.2631578947,242.0,23.0,0.881006864989,40.69788349,-73.97350332,Flushing Ave & Carlton Ave
10.7368421053,20.2631578947,243.0,31.0,0.653650254669,40.688226,-73.979382,Fulton St & Rockwell Pl
10.7368421053,20.2631578947,244.0,31.0,0.653650254669,40.69196035,-73.96536851,Willoughby Ave & Hall St
2.73684210526,20.2631578947,245.0,23.0,0.881006864989,40.69327018,-73.97703874,Myrtle Ave & St Edwards St
2.73684210526,20.2631578947,258.0,23.0,0.881006864989,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave
6.73684210526,20.2631578947,261.0,27.0,0.750487329435,40.69474881,-73.98362464,Johnson St & Gold St
3.73684210526,20.2631578947,262.0,24.0,0.844298245614,40.6917823,-73.9737299,Washington Park
2.73684210526,20.2631578947,270.0,23.0,0.881006864989,40.69308257,-73.97178913,Adelphi St & Myrtle Ave
10.7368421053,20.2631578947,271.0,31.0,0.653650254669,40.68528172,-73.97805813,Ashland Pl & Hanson Pl
11.7368421053,19.2631578947,274.0,31.0,0.621392190153,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl
-0.263157894737,19.2631578947,275.0,19.0,1.01385041551,40.68650065,-73.96563307,Washington Ave & Greene Ave
-0.263157894737,19.2631578947,278.0,19.0,1.01385041551,40.69766564,-73.98476437,Concord St & Bridge St
7.73684210526,19.2631578947,282.0,27.0,0.713450292398,40.70827295,-73.96834101,Kent Ave & S 11 St
-0.263157894737,19.2631578947,289.0,19.0,1.01385041551,40.6845683,-73.95881081,Monroe St & Classon Ave
